,group_count,patient_count,rec_count,marketer,prosecutor,field_count
0,273774,4936,79080802,0.003461952750555059,1.0,9
0,7489177,4936,79080802,0.09470284583102735,1.0,30
0,64952802,4936,79080802,0.8213472847683058,1.0,56
0,55095676,4936,79080802,0.6967010273871527,1.0,31
0,73434842,4936,79080802,0.9286051752484756,1.0,47
0,50154906,4936,79080802,0.634223537591336,1.0,26
0,68218429,4936,79080802,0.8626420986474063,1.0,49
0,1594832,4936,79080802,0.020167119701188667,1.0,23
0,77863013,4936,79080802,0.9846006999271454,1.0,48
0,59550486,4936,79080802,0.7530334100557048,1.0,45
0,25604937,4936,79080802,0.3237819591156903,1.0,14
0,61363078,4936,79080802,0.7759541690029901,1.0,29
0,74688866,4936,79080802,0.9444626775535231,1.0,56
0,78403586,4936,79080802,0.9914364045018158,1.0,54
0,2741141,4936,79080802,0.03466253415082968,1.0,31
0,71192306,4936,79080802,0.9002476479689723,1.0,54
0,74247127,4936,79080802,0.9388767579772396,1.0,60
0,47795062,4936,79080802,0.6043826161499981,1.0,20
0,51970132,4936,79080802,0.6571776042433156,1.0,28
0,44964529,4936,79080802,0.5685896938677987,1.0,16
0,618899,4936,79080802,0.007826159881383094,1.0,25
0,37539224,4936,79080802,0.47469452826237146,1.0,44
0,75718774,4936,79080802,0.9574861671230901,1.0,58
0,589272,4936,79080802,0.007451517752690469,1.0,11
0,77184520,4936,79080802,0.9760209563883786,1.0,52
0,52093569,4936,79080802,0.6587385014127702,1.0,45
0,1604016,4936,79080802,0.020283254082324557,1.0,38
0,3531081,4936,79080802,0.044651557782633515,1.0,23
0,68411037,4936,79080802,0.865077683455967,1.0,52
0,2276935,4936,79080802,0.028792512751704264,1.0,15
0,185483,4936,79080802,0.0023454870880039885,1.0,18
0,78906741,4936,79080802,0.9977989474613573,1.0,50
0,1379948,4936,79080802,0.01744984832096164,1.0,37
0,6904475,4936,79080802,0.08730911707243434,1.0,16
0,18037,4936,79080802,0.00022808316992030506,1.0,5
0,76145311,4936,79080802,0.9628798529382643,1.0,46
0,65473121,4936,79080802,0.8279268715560067,1.0,42
0,65061413,4936,79080802,0.8227207028072376,1.0,52
0,68300221,4936,79080802,0.8636763825435154,1.0,49
0,72339508,4936,79080802,0.9147543546662564,1.0,43
0,46982606,4936,79080802,0.5941088710759408,1.0,24
0,69078744,4936,79080802,0.8735210348524285,1.0,63
0,3632881,4936,79080802,0.04593884872336019,1.0,12
0,56840103,4936,79080802,0.7187598198612098,1.0,41
0,48819199,4936,79080802,0.6173331297272378,1.0,33
0,32215999,4936,79080802,0.4073807825064799,1.0,38
0,50031183,4936,79080802,0.6326590238677651,1.0,51
0,36254958,4936,79080802,0.45845460697275175,1.0,32
0,25390,4936,79080802,0.00032106401753487527,1.0,12
0,12393721,4936,79080802,0.15672224720229821,1.0,29
0,14028385,4936,79080802,0.17739305425860502,1.0,23
0,72778283,4936,79080802,0.9203027935907884,1.0,60
0,28811099,4936,79080802,0.3643248205803477,1.0,30
0,60540996,4936,79080802,0.7655587003277989,1.0,48
0,4621304,4936,79080802,0.058437748266639986,1.0,12
0,30396235,4936,79080802,0.3843693315098145,1.0,31
0,5663760,4936,79080802,0.07161991098673987,1.0,18
0,69366259,4936,79080802,0.8771567465893935,1.0,28
0,59565305,4936,79080802,0.7532208006691687,1.0,31
0,32568,4936,79080802,0.0004118319386796305,1.0,6
0,67106700,4936,79080802,0.8485839584682007,1.0,58
0,2044935,4936,79080802,0.02585880451743522,1.0,46
0,71669554,4936,79080802,0.9062825892939225,1.0,44
0,12600114,4936,79080802,0.15933214739020982,1.0,15
0,78196361,4936,79080802,0.988815983429202,1.0,58
0,31042242,4936,79080802,0.39253828002401897,1.0,29
0,18221,4936,79080802,0.00023040990403713912,1.0,10
0,61786032,4936,79080802,0.7813025467293566,1.0,59
0,76209633,4936,79080802,0.9636932235462154,1.0,61
0,1391473,4936,79080802,0.0175955853356166,1.0,28
0,65253592,4936,79080802,0.8251508627846238,1.0,49
0,178183,4936,79080802,0.0022531764409774195,1.0,3
0,72970095,4936,79080802,0.9227283127452349,1.0,58
0,56956443,4936,79080802,0.7202309733783429,1.0,43
0,32534,4936,79080802,0.00041140199867978073,1.0,2
0,1090054,4936,79080802,0.013784053429301337,1.0,18
0,9892,4936,79080802,0.00012508724936805774,1.0,2
0,75441534,4936,79080802,0.9539803857831386,1.0,53
0,79080802,4936,79080802,1.0,1.0,56
0,74977179,4936,79080802,0.9481084802351903,1.0,60
0,66602767,4936,79080802,0.842211577469839,1.0,50
0,234401,4936,79080802,0.0029640695854349073,1.0,8
0,972017,4936,79080802,0.012291440848058168,1.0,14
0,12850712,4936,79080802,0.1625010328043967,1.0,37
0,78823510,4936,79080802,0.9967464669870192,1.0,63
0,76624298,4936,79080802,0.9689367844296773,1.0,56
0,222864,4936,79080802,0.0028181808272505888,1.0,17
0,5737465,4936,79080802,0.07255193238935538,1.0,19
0,1074884,4936,79080802,0.013592224317603659,1.0,28
0,97868,4936,79080802,0.001237569644273461,1.0,10
0,77425396,4936,79080802,0.9790669042531966,1.0,45
0,1607050,4936,79080802,0.020321619904664093,1.0,17
0,29697143,4936,79080802,0.37552910755760927,1.0,42
0,11695804,4936,79080802,0.14789688147067603,1.0,15
0,72799794,4936,79080802,0.9205748065124579,1.0,48
0,66545404,4936,79080802,0.8414862054636219,1.0,40
0,29450031,4936,79080802,0.3724043036387011,1.0,36
0,50866,4936,79080802,0.0006432155303634882,1.0,7
0,176890,4936,79080802,0.002236826075689015,1.0,19
0,34947775,4936,79080802,0.4419248934779392,1.0,30
0,2507013,4936,79080802,0.03170191673068768,1.0,18
0,58465859,4936,79080802,0.739317982637556,1.0,37
0,28313116,4936,79080802,0.35802767908195976,1.0,32
0,901025,4936,79080802,0.011393726128371839,1.0,25
0,77275610,4936,79080802,0.9771728162291525,1.0,58
0,77184520,4936,79080802,0.9760209563883786,1.0,53
0,38939,4936,79080802,0.0004923951074750102,1.0,9
0,77397238,4936,79080802,0.9787108380615563,1.0,52
0,25189308,4936,79080802,0.3185262081687032,1.0,40
0,363424,4936,79080802,0.004595603367806007,1.0,30
0,43198012,4936,79080802,0.5462515668467803,1.0,41
0,68923335,4936,79080802,0.8715558423395858,1.0,48
0,48658331,4936,79080802,0.6152989065538309,1.0,59
0,78164519,4936,79080802,0.9884133319740486,1.0,59
0,314137,4936,79080802,0.003972354756847307,1.0,12
0,65207143,4936,79080802,0.8245635015183584,1.0,35
0,59300440,4936,79080802,0.7498715048438684,1.0,52
0,498436,4936,79080802,0.0063028698166212324,1.0,21
0,68627693,4936,79080802,0.8678173622973626,1.0,53
0,57930574,4936,79080802,0.7325491463781564,1.0,41
0,207042,4936,79080802,0.002618106983791085,1.0,23
0,58858628,4936,79080802,0.7442846621611147,1.0,34
0,22114,4936,79080802,0.00027963803401993826,1.0,11
0,1005653,4936,79080802,0.012716777960850726,1.0,36
0,66656903,4936,79080802,0.8428961431119527,1.0,52
0,373406,4936,79080802,0.004721828693644255,1.0,17
0,25552646,4936,79080802,0.32312072404121545,1.0,15
0,26106023,4936,79080802,0.3301183389617116,1.0,36
0,74289985,4936,79080802,0.9394187099923443,1.0,35
0,77275610,4936,79080802,0.9771728162291525,1.0,55
0,79080802,4936,79080802,1.0,1.0,56
0,6830092,4936,79080802,0.08636852216041006,1.0,25
0,2637758,4936,79080802,0.03335522570952176,1.0,25
0,17436,4936,79080802,0.00022048334815825464,1.0,7
0,60169174,4936,79080802,0.76085690178003,1.0,47
0,1967117,4936,79080802,0.024874773020131993,1.0,7
0,60553568,4936,79080802,0.7657176769653904,1.0,59
0,223388,4936,79080802,0.0028248069613659205,1.0,15
0,50361319,4936,79080802,0.6368336906851298,1.0,43
0,60917877,4936,79080802,0.7703244714184866,1.0,33
0,430081,4936,79080802,0.005438500737511488,1.0,25
0,60195,4936,79080802,0.0007611834791457983,1.0,14
0,55471513,4936,79080802,0.7014535967907862,1.0,43
0,38182403,4936,79080802,0.4828277158848237,1.0,41
0,75019077,4936,79080802,0.9486382927679464,1.0,46
0,2066532,4936,79080802,0.02613190493439862,1.0,31
0,65763474,4936,79080802,0.831598470637665,1.0,53
0,23410,4936,79080802,0.00029602633519068257,1.0,13
0,3899461,4936,79080802,0.049309831228064684,1.0,25
0,8895337,4936,79080802,0.11248415260128494,1.0,24
0,597734,4936,79080802,0.00755852223147661,1.0,12
0,74527749,4936,79080802,0.942425305701882,1.0,40
0,48300368,4936,79080802,0.6107723591371772,1.0,57
0,18914348,4936,79080802,0.23917749341995798,1.0,15
0,209153,4936,79080802,0.0026448011996641108,1.0,5
0,13631334,4936,79080802,0.17237222758565346,1.0,21
0,74993826,4936,79080802,0.9483189864462932,1.0,50
0,46335,4936,79080802,0.0005859197027364493,1.0,12
0,367649,4936,79080802,0.004649029735434398,1.0,17
0,251264,4936,79080802,0.003177307180066282,1.0,9
0,480513,4936,79080802,0.006076228210229836,1.0,27
0,14161422,4936,79080802,0.1790753462515466,1.0,29
0,59358977,4936,79080802,0.7506117224253744,1.0,51
0,54674582,4936,79080802,0.6913761699078368,1.0,32
0,3760679,4936,79080802,0.047554892020442587,1.0,13
0,11192285,4936,79080802,0.14152973562407725,1.0,16
0,52940260,4936,79080802,0.6694451581307939,1.0,42
0,41931453,4936,79080802,0.5302355557800236,1.0,54
0,66063854,4936,79080802,0.8353968640833966,1.0,35
0,13542961,4936,79080802,0.17125472500898511,1.0,26
0,1301715,4936,79080802,0.016460569026601424,1.0,19
0,34766131,4936,79080802,0.4396279516740359,1.0,23
0,47163,4936,79080802,0.0005963900062622026,1.0,3
0,16611318,4936,79080802,0.21005500171836902,1.0,36
0,5137109,4936,79080802,0.06496025419671389,1.0,36
0,65806023,4936,79080802,0.8321365152568888,1.0,49
0,2306794,4936,79080802,0.029170088588631158,1.0,13
0,103524,4936,79080802,0.0013090914277778822,1.0,7
0,75814691,4936,79080802,0.9586990657985487,1.0,61
0,202709,4936,79080802,0.0025633149243984655,1.0,13
0,4940,4936,79080802,6.24677529193495e-05,1.0,2
0,35942642,4936,79080802,0.4545052792964846,1.0,34
0,53125855,4936,79080802,0.6717920614917385,1.0,60
